                    |alpha =  0.10E+01     |alpha =  0.10E-01     |alpha =  0.10E-03     |alpha =  0.10E-05     |alpha =  0.10E-07     |alpha =  0.10E-09     |alpha =  0.10E-11     |alpha =  0.10E-13     |alpha =  0.10E-15     |
  0.000000000000E+00|  0.516700732873E-01  | -0.629743980534E+00  | -0.556370950348E+00  | -0.555723463188E+00  | -0.555716996377E+00  | -0.555716930956E+00  | -0.555717024258E+00  | -0.555998756091E+00  | -0.557830820894E+00  |
  0.500000000000E-01|  0.468662998525E-01  | -0.571196600747E+00  | -0.504645070721E+00  | -0.504057780519E+00  | -0.504051914389E+00  | -0.504051823171E+00  | -0.504057374632E+00  | -0.504581497758E+00  | -0.463029731056E+00  |
  0.100000000000E+00|  0.427025387626E-01  | -0.520449556743E+00  | -0.459810690445E+00  | -0.459275577100E+00  | -0.459270232327E+00  | -0.459270180720E+00  | -0.459271629505E+00  | -0.459085428134E+00  | -0.458321575892E+00  |
  0.150000000000E+00|  0.390700142206E-01  | -0.476177112001E+00  | -0.420696537842E+00  | -0.420206944333E+00  | -0.420202054588E+00  | -0.420202066474E+00  | -0.420204733267E+00  | -0.420181381397E+00  | -0.478126088633E+00  |
  0.200000000000E+00|  0.358820230155E-01  | -0.437322546026E+00  | -0.386369013539E+00  | -0.385919369335E+00  | -0.385914878770E+00  | -0.385914928575E+00  | -0.385920577953E+00  | -0.386458103175E+00  | -0.473913003057E+00  |
  0.250000000000E+00|  0.330688658955E-01  | -0.403036379007E+00  | -0.356077612719E+00  | -0.355663220702E+00  | -0.355659082120E+00  | -0.355659125985E+00  | -0.355664701442E+00  | -0.356454635668E+00  | -0.431584688639E+00  |
  0.300000000000E+00|  0.305740110244E-01  | -0.372629612820E+00  | -0.329213614136E+00  | -0.328830485600E+00  | -0.328826658997E+00  | -0.328826664991E+00  | -0.328828288982E+00  | -0.329325410012E+00  | -0.363956780358E+00  |
  0.350000000000E+00|  0.283512031505E-01  | -0.345538498187E+00  | -0.305278952337E+00  | -0.304923678210E+00  | -0.304920129545E+00  | -0.304920091075E+00  | -0.304916380931E+00  | -0.304793324479E+00  | -0.294539002005E+00  |
  0.400000000000E+00|  0.263622862533E-01  | -0.321297997563E+00  | -0.283862772451E+00  | -0.283532421804E+00  | -0.283529121931E+00  | -0.283529053754E+00  | -0.283521798594E+00  | -0.282839299583E+00  | -0.242731960791E+00  |
  0.450000000000E+00|  0.245755555656E-01  | -0.299521699914E+00  | -0.264623685152E+00  | -0.264315724353E+00  | -0.264312648112E+00  | -0.264312572321E+00  | -0.264305172847E+00  | -0.263403038572E+00  | -0.215558133983E+00  |
  0.500000000000E+00|  0.229644969943E-01  | -0.279886457055E+00  | -0.247276193048E+00  | -0.246988420720E+00  | -0.246985546197E+00  | -0.246985477718E+00  | -0.246980597103E+00  | -0.246228984178E+00  | -0.207136575447E+00  |
  0.550000000000E+00|  0.215068080945E-01  | -0.262120451479E+00  | -0.231580148763E+00  | -0.231310643004E+00  | -0.231307950970E+00  | -0.231307890235E+00  | -0.231305826942E+00  | -0.230883749837E+00  | -0.204291041101E+00  |
  0.600000000000E+00|  0.201836248720E-01  | -0.245993772795E+00  | -0.217332429336E+00  | -0.217079504628E+00  | -0.217076978147E+00  | -0.217076914157E+00  | -0.217075613444E+00  | -0.216896615894E+00  | -0.194950267588E+00  |
  0.650000000000E+00|  0.189789028164E-01  | -0.231310873885E+00  | -0.204360271328E+00  | -0.204122443213E+00  | -0.204120067363E+00  | -0.204119989038E+00  | -0.204116685972E+00  | -0.203933018569E+00  | -0.175357037824E+00  |
  0.700000000000E+00|  0.178789186844E-01  | -0.217904498748E+00  | -0.192515906148E+00  | -0.192291862135E+00  | -0.192289623813E+00  | -0.192289532884E+00  | -0.192283092771E+00  | -0.191902321675E+00  | -0.152549430516E+00  |
  0.750000000000E+00|  0.168718716734E-01  | -0.205630821686E+00  | -0.181672265585E+00  | -0.181460841064E+00  | -0.181458728775E+00  | -0.181458645138E+00  | -0.181451064330E+00  | -0.180925548271E+00  | -0.140113278315E+00  |
  0.800000000000E+00|  0.159475687414E-01  | -0.194365612048E+00  | -0.171719593411E+00  | -0.171519751500E+00  | -0.171517755096E+00  | -0.171517707140E+00  | -0.171513285012E+00  | -0.171146161545E+00  | -0.147829350870E+00  |
  0.850000000000E+00|  0.150971789439E-01  | -0.184001240140E+00  | -0.162562800132E+00  | -0.162373614615E+00  | -0.162371724957E+00  | -0.162371724462E+00  | -0.162373442940E+00  | -0.162457421359E+00  | -0.169552134798E+00  |
  0.900000000000E+00|  0.143130357699E-01  | -0.174444268138E+00  | -0.154119334598E+00  | -0.153939975324E+00  | -0.153938183957E+00  | -0.153938199381E+00  | -0.153943176570E+00  | -0.154343304898E+00  | -0.178459302382E+00  |
  0.950000000000E+00|  0.135884545709E-01  | -0.165613224955E+00  | -0.146317218118E+00  | -0.146146938702E+00  | -0.146145237730E+00  | -0.146145202649E+00  | -0.146145048780E+00  | -0.146186466921E+00  | -0.144702044737E+00  |
  0.100000000000E+01|  0.129175142837E-01  | -0.157435945918E+00  | -0.139092694105E+00  | -0.138930822359E+00  | -0.138929204943E+00  | -0.138929131678E+00  | -0.138926955663E+00  | -0.138586227060E+00  | -0.974663931435E-01  |
