x|y, alpha =  0.10E+01|y, alpha =  0.10E-01|y, alpha =  0.10E-03|y, alpha =  0.10E-05|y, alpha =  0.10E-07|y, alpha =  0.10E-09|y, alpha =  0.10E-11|y, alpha =  0.10E-13|y, alpha =  0.10E-15
  0.000000000000E+00|  0.516009620950E-01| -0.628812772652E+00| -0.555556695498E+00| -0.554910230488E+00| -0.554903774828E+00| -0.554903831310E+00| -0.554920151963E+00| -0.556786318083E+00| -0.649359791550E+00
  0.500000000000E-01|  0.469083154355E-01| -0.571627866844E+00| -0.505033775664E+00| -0.504446100862E+00| -0.504440231456E+00| -0.504440220820E+00| -0.504447112086E+00| -0.505117846913E+00| -0.525861238250E+00
  0.100000000000E+00|  0.427649172550E-01| -0.521136139708E+00| -0.460424285689E+00| -0.459888520028E+00| -0.459883168532E+00| -0.459883117604E+00| -0.459883685661E+00| -0.459804002472E+00| -0.438045996029E+00
  0.150000000000E+00|  0.391099172012E-01| -0.476596064783E+00| -0.421073086224E+00| -0.420583110980E+00| -0.420578216572E+00| -0.420578145866E+00| -0.420574871995E+00| -0.420090653044E+00| -0.378325113602E+00
  0.200000000000E+00|  0.358866368155E-01| -0.437316954587E+00| -0.386369954208E+00| -0.385920360730E+00| -0.385915869602E+00| -0.385915794021E+00| -0.385910596307E+00| -0.385279111964E+00| -0.339910292671E+00
  0.250000000000E+00|  0.330425695333E-01| -0.402658960613E+00| -0.355749582864E+00| -0.355335620312E+00| -0.355331485154E+00| -0.355331414696E+00| -0.355325709732E+00| -0.354726137622E+00| -0.316813887926E+00
  0.300000000000E+00|  0.305293806838E-01| -0.372033073332E+00| -0.328691581700E+00| -0.328309104779E+00| -0.328305284266E+00| -0.328305224730E+00| -0.328299989317E+00| -0.327843933458E+00| -0.303848907043E+00
  0.350000000000E+00|  0.283029074899E-01| -0.344901122193E+00| -0.304720476512E+00| -0.304365893202E+00| -0.304362351488E+00| -0.304362305172E+00| -0.304358138022E+00| -0.304100147965E+00| -0.296629010689E+00
  0.400000000000E+00|  0.263231590685E-01| -0.320775775622E+00| -0.283405709379E+00| -0.283075928673E+00| -0.283072634873E+00| -0.283072601284E+00| -0.283069784721E+00| -0.283017874690E+00| -0.291568512517E+00
  0.450000000000E+00|  0.245543164304E-01| -0.299220541020E+00| -0.264361638668E+00| -0.264054018305E+00| -0.264050945986E+00| -0.264050922538E+00| -0.264049484203E+00| -0.264175652231E+00| -0.285882379167E+00
  0.500000000000E+00|  0.229647324801E-01| -0.279849764767E+00| -0.247247539031E+00| -0.246959833229E+00| -0.246956959897E+00| -0.246956942619E+00| -0.246956717169E+00| -0.247207464238E+00| -0.277586230269E+00
  0.550000000000E+00|  0.215269320159E-01| -0.262328632220E+00| -0.231767601405E+00| -0.231497908595E+00| -0.231495215185E+00| -0.231495199422E+00| -0.231495890234E+00| -0.231802739415E+00| -0.265496338438E+00
  0.600000000000E+00|  0.202176117301E-01| -0.246373167714E+00| -0.217670933014E+00| -0.217417643575E+00| -0.217415113937E+00| -0.217415095054E+00| -0.217416335926E+00| -0.217706351517E+00| -0.249229629281E+00
  0.650000000000E+00|  0.190176402088E-01| -0.231750234559E+00| -0.204751557366E+00| -0.204513301360E+00| -0.204510921746E+00| -0.204510895834E+00| -0.204512312690E+00| -0.204718619352E+00| -0.229203681387E+00
  0.700000000000E+00|  0.179120579318E-01| -0.218277535044E+00| -0.192848414257E+00| -0.192624009158E+00| -0.192621767715E+00| -0.192621732291E+00| -0.192623004879E+00| -0.192695306781E+00| -0.206636726339E+00
  0.750000000000E+00|  0.168900772729E-01| -0.205823610434E+00| -0.181845359766E+00| -0.181633758200E+00| -0.181631644453E+00| -0.181631599167E+00| -0.181632522764E+00| -0.181547622715E+00| -0.183547648703E+00
  0.800000000000E+00|  0.159450824997E-01| -0.194307840973E+00| -0.171671166259E+00| -0.171471403737E+00| -0.171469408078E+00| -0.171469355414E+00| -0.171469902528E+00| -0.171242221122E+00| -0.162755986036E+00
  0.850000000000E+00|  0.150746297736E-01| -0.183700445879E+00| -0.162299522390E+00| -0.162110665036E+00| -0.162108778215E+00| -0.162108724197E+00| -0.162109106267E+00| -0.161801201017E+00| -0.147881928881E+00
  0.900000000000E+00|  0.142804471499E-01| -0.174022483350E+00| -0.153749033094E+00| -0.153570125386E+00| -0.153568337997E+00| -0.153568292892E+00| -0.153569021993E+00| -0.153302106472E+00| -0.143346320768E+00
  0.950000000000E+00|  0.135684345777E-01| -0.165345850561E+00| -0.146083219595E+00| -0.145913232098E+00| -0.145911534065E+00| -0.145911513085E+00| -0.145913463628E+00| -0.145877926608E+00| -0.154370658219E+00
  0.100000000000E+01|  0.129486638999E-01| -0.157793283662E+00| -0.139410519403E+00| -0.139248296498E+00| -0.139246676567E+00| -0.139246700574E+00| -0.139251171011E+00| -0.139717095600E+00| -0.186977090739E+00
