x|y, \alpha =  0.10E-08|y, \alpha =  0.10E-09|y, \alpha =  0.10E-10|y, \alpha =  0.10E-11|y, \alpha =  0.10E-12|y, \alpha =  0.10E-13
  0.000000000000E+00| -0.103815268738E+00| -0.380341490081E-02|  0.303605763533E-01|  0.334587810160E-01|  0.249743681987E-01|  0.342056527990E-02
  0.500000000000E-01| -0.123768532198E-01|  0.372872657869E-01|  0.543012757850E-01|  0.562182013316E-01|  0.548559141843E-01|  0.509682457281E-01
  0.100000000000E+00|  0.687878662213E-01|  0.826473065556E-01|  0.874436108151E-01|  0.883187731240E-01|  0.904954688541E-01|  0.956729750468E-01
  0.150000000000E+00|  0.140672831982E+00|  0.129976008257E+00|  0.126376095771E+00|  0.126380238986E+00|  0.129798233016E+00|  0.138233047358E+00
  0.200000000000E+00|  0.204201446964E+00|  0.177630234423E+00|  0.168588922492E+00|  0.167906728641E+00|  0.171204855991E+00|  0.179399025785E+00
  0.250000000000E+00|  0.260222241165E+00|  0.224453621338E+00|  0.212247640070E+00|  0.211063410704E+00|  0.213512547978E+00|  0.219798993701E+00
  0.300000000000E+00|  0.309508859146E+00|  0.269650195574E+00|  0.256024173922E+00|  0.254510339052E+00|  0.255771004144E+00|  0.259290946913E+00
  0.350000000000E+00|  0.352762674895E+00|  0.312690525092E+00|  0.298971287599E+00|  0.297284038621E+00|  0.297294448411E+00|  0.297746004367E+00
  0.400000000000E+00|  0.390616902679E+00|  0.353241714638E+00|  0.340427759698E+00|  0.338706060522E+00|  0.337600332169E+00|  0.335265501036E+00
  0.450000000000E+00|  0.423641481603E+00|  0.391115073076E+00|  0.379946518058E+00|  0.378311598212E+00|  0.376326108521E+00|  0.371827984398E+00
  0.500000000000E+00|  0.452348267573E+00|  0.426226973867E+00|  0.417240667410E+00|  0.415795950112E+00|  0.413208130458E+00|  0.407231921001E+00
  0.550000000000E+00|  0.477196228730E+00|  0.458569545536E+00|  0.452142772388E+00|  0.450974635485E+00|  0.448085015540E+00|  0.441309864882E+00
  0.600000000000E+00|  0.498596456624E+00|  0.488188690000E+00|  0.484573718433E+00|  0.483752916028E+00|  0.480871026996E+00|  0.473992895757E+00
  0.650000000000E+00|  0.516916889290E+00|  0.515167618040E+00|  0.514519007650E+00|  0.514102532740E+00|  0.511522556773E+00|  0.505243363390E+00
  0.700000000000E+00|  0.532486694232E+00|  0.539614565665E+00|  0.542010957337E+00|  0.542044041359E+00|  0.540035074796E+00|  0.535053731344E+00
  0.750000000000E+00|  0.545600287896E+00|  0.561653651460E+00|  0.567115091336E+00|  0.567632558933E+00|  0.566443799192E+00|  0.563412181518E+00
  0.800000000000E+00|  0.556520989241E+00|  0.581418088101E+00|  0.589919574278E+00|  0.590946274233E+00|  0.590795947764E+00|  0.590198217219E+00
  0.850000000000E+00|  0.565484323210E+00|  0.599045209161E+00|  0.610527601729E+00|  0.612079496857E+00|  0.613141808148E+00|  0.615343452738E+00
  0.900000000000E+00|  0.572700994840E+00|  0.614672886819E+00|  0.629051935216E+00|  0.631139123597E+00|  0.633568819000E+00|  0.639018659507E+00
  0.950000000000E+00|  0.578359551127E+00|  0.628436915707E+00|  0.645609878227E+00|  0.648238229646E+00|  0.652178891346E+00|  0.661220886676E+00
  0.100000000000E+01|  0.582628759616E+00|  0.640469150161E+00|  0.660320114877E+00|  0.663486901387E+00|  0.669020812098E+00|  0.681763644270E+00
