alpha =  0.10E+01     |alpha =  0.10E-01     |alpha =  0.10E-03     |alpha =  0.10E-05     |alpha =  0.10E-07     |alpha =  0.10E-09     |alpha =  0.10E-11     |alpha =  0.10E-13     |alpha =  0.10E-15     |
  0.258350460003E-01  | -0.314872104303E+00  | -0.278185575924E+00  | -0.277861832223E+00  | -0.277858598516E+00  | -0.277858558216E+00  | -0.277857592153E+00  | -0.277771521672E+00  | -0.272617295955E+00  |
 -0.176255425315E-01  |  0.214816403514E+00  |  0.189787612534E+00  |  0.189566743630E+00  |  0.189564537857E+00  |  0.189564549673E+00  |  0.189567716885E+00  |  0.189846763977E+00  |  0.211676678855E+00  |
  0.603267771290E-02  | -0.735250065366E-01  | -0.649584260042E-01  | -0.648828294157E-01  | -0.648820744782E-01  | -0.648820869643E-01  | -0.648877781025E-01  | -0.654120815648E-01  | -0.817795011445E-01  |
 -0.165371013828E-02  |  0.201550711829E-01  |  0.178067539428E-01  |  0.177860309943E-01  |  0.177858237115E-01  |  0.177857616818E-01  |  0.177842535547E-01  |  0.176446464300E-01  | -0.321546210342E-01  |
  0.404964283837E-03  | -0.493561947667E-02  | -0.436055823262E-02  | -0.435548354501E-02  | -0.435543249325E-02  | -0.435535235825E-02  | -0.435130079262E-02  | -0.392322469203E-02  |  0.667113429111E-01  |
 -0.925834547109E-04  |  0.112838766411E-02  |  0.996916423923E-03  |  0.995756245830E-03  |  0.995744844266E-03  |  0.995776800385E-03  |  0.997325327879E-03  |  0.135779874337E-02  |  0.743441733287E-02  |
  0.202118314048E-04  | -0.246337548081E-03  | -0.217636150516E-03  | -0.217382874255E-03  | -0.217380278774E-03  | -0.217384445521E-03  | -0.215815570296E-03  | -0.611794559692E-03  | -0.179228005479E-01  |
 -0.426919842722E-05  |  0.520320920847E-04  |  0.459697042866E-04  |  0.459162128382E-04  |  0.459162402497E-04  |  0.459850245773E-04  |  0.533983341145E-04  |  0.815427684958E-03  |  0.748241792359E-01  |
  0.893957099375E-06  | -0.108953610160E-04  | -0.962591553973E-05  | -0.961471541161E-05  | -0.961489419442E-05  | -0.964933370197E-05  | -0.950334219538E-05  |  0.426130913329E-03  | -0.220403522820E-01  |
 -0.174178877227E-06  |  0.212285550313E-05  |  0.187551631233E-05  |  0.187333147459E-05  |  0.187306418320E-05  |  0.182645907244E-05  | -0.765980391950E-05  | -0.958372319526E-03  | -0.315984405140E-01  |
