c_i, \alpha =  0.10E-08| c_i, \alpha =  0.10E-09| c_i, \alpha =  0.10E-10| c_i, \alpha =  0.10E-11| c_i, \alpha =  0.10E-12| c_i, \alpha =  0.10E-13
  0.384071412400E+00|  0.385612762550E+00|  0.386136379900E+00|  0.386204007286E+00|  0.386228577562E+00|  0.386272632365E+00
  0.312113902080E+00|  0.331799932134E+00|  0.338517231007E+00|  0.339400402287E+00|  0.339833002611E+00|  0.340683005935E+00
 -0.140023309387E+00| -0.757955282048E-01| -0.537610930103E-01| -0.506967789759E-01| -0.480034619200E-01| -0.421224138777E-01
  0.306473053308E-01| -0.680052888596E-02| -0.195572443250E-01| -0.204761298979E-01| -0.154806936672E-01| -0.296926244051E-02
 -0.463615843990E-02|  0.779715804777E-02|  0.120049684567E-01|  0.120367913893E-01|  0.831366590451E-02| -0.813373833692E-03
  0.472441614482E-03| -0.270894885270E-02| -0.377866261649E-02| -0.371787163073E-02| -0.224244599617E-02|  0.135688215996E-02
 -0.897238579555E-05|  0.688689815427E-03|  0.921619777048E-03|  0.891757773515E-03|  0.439907065304E-03| -0.804219053988E-03
 -0.107763414902E-04| -0.148841883614E-03| -0.194517296347E-03| -0.184378158476E-03| -0.609635584563E-04|  0.338657983447E-03
  0.370628412139E-05|  0.294124847063E-04|  0.378660082849E-04|  0.352363458101E-04|  0.885016463559E-05| -0.528248982154E-04
 -0.834372841784E-06| -0.519889886111E-05| -0.669829316423E-05| -0.718584276855E-05| -0.840293417127E-05| -0.824989545636E-04
