x|\hat{K}u-f, \alpha =  0.10E-08|\hat{K}u-f, \alpha =  0.10E-09|\hat{K}u-f, \alpha =  0.10E-10|\hat{K}u-f, \alpha =  0.10E-11|\hat{K}u-f, \alpha =  0.10E-12|\hat{K}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.313792963293E-05| -0.822468045801E-06| -0.106203760508E-06| -0.173979477769E-07| -0.670529989172E-08| -0.187187453732E-08
  0.500000000000E-01| -0.165542688346E-05| -0.416175592578E-06| -0.513476011502E-07| -0.639464384222E-08| -0.151198561310E-08| -0.359745871981E-09
  0.100000000000E+00| -0.590742837016E-06| -0.127363180891E-06| -0.135244088983E-07|  0.172227544726E-09|  0.119293359913E-08|  0.405272385096E-09
  0.150000000000E+00|  0.150364470111E-06|  0.709326174533E-07|  0.115472863077E-07|  0.372571572205E-08|  0.229966973242E-08|  0.695701163345E-09
  0.200000000000E+00|  0.641297236918E-06|  0.199623656279E-06|  0.271026378840E-07|  0.527634647779E-08|  0.242510659471E-08|  0.699296363871E-09
  0.250000000000E+00|  0.939392869853E-06|  0.274975623667E-06|  0.355927560480E-07|  0.553897344657E-08|  0.199291916997E-08|  0.544151598780E-09
  0.300000000000E+00|  0.108954616001E-05|  0.309669868130E-06|  0.388783513369E-07|  0.501613428572E-08|  0.129020331918E-08|  0.316374981768E-09
  0.350000000000E+00|  0.112697309326E-05|  0.313610435801E-06|  0.383735946213E-07|  0.405778106255E-08|  0.507648610648E-09|  0.725824469971E-10
  0.400000000000E+00|  0.107933122713E-05|  0.294540869389E-06|  0.351536067825E-07|  0.290424530258E-08| -0.231882860136E-09| -0.151247951663E-09
  0.450000000000E+00|  0.968354702494E-06|  0.258518049037E-06|  0.300351964688E-07|  0.171723710252E-08| -0.852989325006E-09| -0.333492108928E-09
  0.500000000000E+00|  0.811120961910E-06|  0.210277961384E-06|  0.236378029025E-07|  0.602266875260E-09| -0.131319852215E-08| -0.462414453950E-09
  0.550000000000E+00|  0.621036446137E-06|  0.153519300820E-06|  0.164297001767E-07| -0.375114043993E-09| -0.159260561683E-08| -0.532999241964E-09
  0.600000000000E+00|  0.408606743628E-06|  0.911242718504E-07|  0.876317424528E-08| -0.117753790052E-08| -0.168649133200E-08| -0.544702855737E-09
  0.650000000000E+00|  0.182040593308E-06|  0.253311500178E-07|  0.901401241843E-09| -0.178728686365E-08| -0.160008144234E-08| -0.499867421760E-09
  0.700000000000E+00| -0.522747708939E-07| -0.421303873246E-07| -0.696094618405E-08| -0.220011648483E-08| -0.134484414577E-08| -0.402607083089E-09
  0.750000000000E+00| -0.289398336458E-06| -0.109932787731E-06| -0.146818531395E-07| -0.242079623708E-08| -0.935892374015E-09| -0.258031637723E-09
  0.800000000000E+00| -0.525538169104E-06| -0.177066613684E-06| -0.221597476098E-07| -0.245990471395E-08| -0.390181737614E-09| -0.717129827743E-10
  0.850000000000E+00| -0.757815523666E-06| -0.242774084114E-06| -0.293240637189E-07| -0.233154104703E-08|  0.274720510229E-09|  0.150675208421E-09
  0.900000000000E+00| -0.984077143582E-06| -0.306496378787E-06| -0.361279373674E-07| -0.205170445564E-08|  0.104145868318E-08|  0.403595587506E-09
  0.950000000000E+00| -0.120274560031E-05| -0.367831774203E-06| -0.425425471309E-07| -0.163716370322E-08|  0.189341883838E-08|  0.681796272217E-09
  0.100000000000E+01| -0.141269975034E-05| -0.426502325505E-06| -0.485527229706E-07| -0.110468000025E-08|  0.281505448813E-08|  0.980400670370E-09
