x|\hat{A}u-f, \alpha =  0.10E-08|\hat{A}u-f, \alpha =  0.10E-09|\hat{A}u-f, \alpha =  0.10E-10|\hat{A}u-f, \alpha =  0.10E-11|\hat{A}u-f, \alpha =  0.10E-12|\hat{A}u-f, \alpha =  0.10E-13
  0.000000000000E+00| -0.838131647418E-14| -0.912377812190E-14| -0.118915294278E-14| -0.113624387676E-15| -0.693889390391E-17| -0.867361737988E-18
  0.500000000000E-01|  0.771605002114E-14|  0.867275001815E-14|  0.112670289765E-14|  0.107552855511E-15|  0.346944695195E-17| -0.867361737988E-18
  0.100000000000E+00|  0.147017814589E-14|  0.170523317689E-14|  0.222044604925E-15|  0.216840434497E-16|  0.867361737988E-18|  0.000000000000E+00
  0.150000000000E+00| -0.497605429084E-14| -0.595530569303E-14| -0.774554032024E-15| -0.711236625150E-16| -0.173472347598E-17|  0.260208521397E-17
  0.200000000000E+00| -0.598653071560E-14| -0.738124839028E-14| -0.961904167429E-15| -0.902056207508E-16| -0.346944695195E-17|  0.260208521397E-17
  0.250000000000E+00| -0.284321177713E-14| -0.361342900046E-14| -0.472712147204E-15| -0.442354486374E-16| -0.260208521397E-17|  0.000000000000E+00
  0.300000000000E+00|  0.136609473733E-14|  0.178763254199E-14|  0.232452945781E-15|  0.216840434497E-16| -0.867361737988E-18| -0.260208521397E-17
  0.350000000000E+00|  0.418328566232E-14|  0.563438184997E-14|  0.734655392076E-15|  0.693889390391E-16|  0.173472347598E-17| -0.260208521397E-17
  0.400000000000E+00|  0.455885329487E-14|  0.632306706994E-14|  0.823993651089E-15|  0.763278329430E-16|  0.000000000000E+00| -0.433680868994E-17
  0.450000000000E+00|  0.279117007285E-14|  0.398119037737E-14|  0.520417042793E-15|  0.485722573274E-16|  0.867361737988E-18| -0.260208521397E-17
  0.500000000000E+00| -0.173472347598E-17| -0.867361737988E-18| -0.260208521397E-17| -0.130104260698E-17| -0.173472347598E-17| -0.130104260698E-17
  0.550000000000E+00| -0.246157261241E-14| -0.370797142990E-14| -0.487457296749E-15| -0.477048955894E-16| -0.303576608296E-17| -0.867361737988E-18
  0.600000000000E+00| -0.354230533794E-14| -0.548259354582E-14| -0.720343923399E-15| -0.698226199081E-16| -0.433680868994E-17| -0.130104260698E-17
  0.650000000000E+00| -0.286142637362E-14| -0.454757759227E-14| -0.597612237474E-15| -0.576795555762E-16| -0.303576608296E-17| -0.130104260698E-17
  0.700000000000E+00| -0.822692608482E-15| -0.134310965128E-14| -0.177375475419E-15| -0.182145964978E-16| -0.216840434497E-17| -0.130104260698E-17
  0.750000000000E+00|  0.150487261541E-14|  0.252055321059E-14|  0.329597460436E-15|  0.307913416986E-16|  0.130104260698E-17| -0.173472347598E-17
  0.800000000000E+00|  0.278509854068E-14|  0.478566838935E-14|  0.627102536566E-15|  0.594142790522E-16|  0.173472347598E-17| -0.216840434497E-17
  0.850000000000E+00|  0.203483063732E-14|  0.358523974398E-14|  0.470543742859E-15|  0.446691295064E-16|  0.216840434497E-17| -0.867361737988E-18
  0.900000000000E+00| -0.526054894090E-15| -0.951495826573E-15| -0.124900090270E-15| -0.121430643318E-16|  0.433680868994E-18|  0.433680868994E-18
  0.950000000000E+00| -0.242124029159E-14| -0.448426018540E-14| -0.588504939225E-15| -0.550774703623E-16| -0.867361737988E-18|  0.130104260698E-17
  0.100000000000E+01|  0.230067701001E-14|  0.436673266990E-14|  0.575060832286E-15|  0.555111512313E-16|  0.303576608296E-17|  0.000000000000E+00
