x|P, N =  0|P, N =  1|P, N =  2|P, N =  3|P, N =  4|P, N =  5|P, N =  6|P, N =  7|P, N =  8|P, N =  9|P, N = 10|P, N = 11|P, N = 12|P, N = 13|P, N = 14
  0.000000000000E+00|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01
  0.100000000000E-01|  0.100000000000E+01| -0.980000000000E+00|  0.940600000000E+00| -0.882980000000E+00|  0.808860700000E+00| -0.720446274800E+00|  0.620351223724E+00| -0.511513848778E+00|  0.397099376370E+00| -0.280396091123E+00|  0.164708082938E+00| -0.532483123307E-01| -0.509643293657E-01|  0.145200447494E+00| -0.227104825639E+00
  0.200000000000E-01|  0.100000000000E+01| -0.960000000000E+00|  0.882400000000E+00| -0.771840000000E+00|  0.634891200000E+00| -0.479619993600E+00|  0.315055188736E+00| -0.150595541975E+00| -0.460131458893E-02|  0.142206421099E+00| -0.255243328955E+00|  0.338512845521E+00| -0.388890584218E+00|  0.405478451920E+00| -0.389601705639E+00
  0.300000000000E-01|  0.100000000000E+01| -0.940000000000E+00|  0.825400000000E+00| -0.666460000000E+00|  0.477276700000E+00| -0.274384176400E+00|  0.751248139960E-01|  0.104039975910E+00| -0.249104669788E+00|  0.349819201770E+00| -0.400582891552E+00|  0.400846751049E+00| -0.354991245884E+00|  0.271702558898E+00| -0.162923196311E+00
  0.400000000000E-01|  0.100000000000E+01| -0.920000000000E+00|  0.769600000000E+00| -0.566720000000E+00|  0.335219200000E+00| -0.101746995200E+00| -0.107736068096E+00|  0.271286477947E+00| -0.373700114874E+00|  0.408264219229E+00| -0.377315751825E+00|  0.291554375725E+00| -0.168234776688E+00|  0.285190273181E-01|  0.105617104169E+00
  0.500000000000E-01|  0.100000000000E+01| -0.900000000000E+00|  0.715000000000E+00| -0.472500000000E+00|  0.207937500000E+00|  0.411412500000E-01| -0.241164312500E+00|  0.367824993750E+00| -0.409685903516E+00|  0.369510485977E+00| -0.263145617856E+00|  0.116213392519E+00|  0.407487142724E-01| -0.177800521643E+00|  0.270772813599E+00
  0.600000000000E-01|  0.100000000000E+01| -0.880000000000E+00|  0.661600000000E+00| -0.383680000000E+00|  0.946672000000E-01|  0.156991155200E+00| -0.332168397056E+00|  0.408294218732E+00| -0.383038113483E+00|  0.273766269762E+00| -0.113002900907E+00| -0.590335535329E-01|  0.203155919457E+00| -0.289309814281E+00|  0.302355302455E+00
  0.700000000000E-01|  0.100000000000E+01| -0.860000000000E+00|  0.609400000000E+00| -0.300140000000E+00| -0.533930000000E-02|  0.248377236400E+00| -0.387158692724E+00|  0.405452966608E+00| -0.315029052522E+00|  0.151344557222E+00|  0.362291407678E-01| -0.197067623136E+00|  0.291623086431E+00| -0.300391144665E+00|  0.227427303966E+00
  0.800000000000E-01|  0.100000000000E+01| -0.840000000000E+00|  0.558400000000E+00| -0.221760000000E+00| -0.928128000000E-01|  0.317740953600E+00| -0.411977068544E+00|  0.370334838129E+00| -0.222797435077E+00|  0.243187408739E-01|  0.161704981134E+00| -0.281423934177E+00|  0.304862967985E+00| -0.232695009044E+00|  0.938788729499E-01
  0.900000000000E-01|  0.100000000000E+01| -0.820000000000E+00|  0.508600000000E+00| -0.148420000000E+00| -0.168467300000E+00|  0.367393734800E+00| -0.411925831316E+00|  0.312395279004E+00| -0.119872639067E+00| -0.920152937150E-01|  0.251245202768E+00| -0.309662677684E+00|  0.256378405889E+00| -0.118446552963E+00| -0.507508995688E-01
  0.100000000000E+00|  0.100000000000E+01| -0.800000000000E+00|  0.460000000000E+00| -0.800000000000E-01| -0.233000000000E+00|  0.399520000000E+00| -0.391796000000E+00|  0.239651200000E+00| -0.166553000000E-01| -0.187855280000E+00|  0.300529795600E+00| -0.288213433280E+00|  0.166441618396E+00|  0.997914088000E-02| -0.169949320154E+00
  0.110000000000E+00|  0.100000000000E+01| -0.780000000000E+00|  0.412600000000E+00| -0.163800000000E-01| -0.287091300000E+00|  0.416180185200E+00| -0.355894914836E+00|  0.158813332177E+00|  0.791435521730E-01| -0.257772239914E+00|  0.310789262597E+00| -0.228455065654E+00|  0.566501657727E-01|  0.125906350407E+00| -0.242002849615E+00
  0.120000000000E+00|  0.100000000000E+01| -0.760000000000E+00|  0.366400000000E+00|  0.425600000000E-01| -0.331404800000E+00|  0.419313766400E+00| -0.308073181184E+00|  0.754114902426E-01|  0.162102659940E+00| -0.299739809819E+00|  0.286931891432E+00| -0.143821353552E+00| -0.535211288059E-01|  0.210981360764E+00| -0.259540203457E+00
  0.130000000000E+00|  0.100000000000E+01| -0.740000000000E+00|  0.321400000000E+00|  0.969400000000E-01| -0.366587300000E+00|  0.410742283600E+00| -0.251750948084E+00| -0.608708300456E-02|  0.228727907242E+00| -0.314300045452E+00|  0.236050747388E+00| -0.477480145351E-01| -0.148657251157E+00|  0.255625793909E+00| -0.226775649805E+00
  0.140000000000E+00|  0.100000000000E+01| -0.720000000000E+00|  0.277600000000E+00|  0.146880000000E+00| -0.393268800000E+00|  0.392172364800E+00| -0.189943521536E+00| -0.821661181747E-01|  0.277124840880E+00| -0.303853234108E+00|  0.166258867468E+00|  0.476998422696E-01| -0.218229744178E+00|  0.258133637536E+00| -0.155795088527E+00
  0.150000000000E+00|  0.100000000000E+01| -0.700000000000E+00|  0.235000000000E+00|  0.192500000000E+00| -0.412062500000E+00|  0.365198750000E+00| -0.125286312500E+00| -0.150155293750E+00|  0.306704346484E+00| -0.272059930352E+00|  0.858057955316E-01|  0.132659464473E+00| -0.256640094072E+00|  0.223022159429E+00| -0.627712564487E-01
  0.160000000000E+00|  0.100000000000E+01| -0.680000000000E+00|  0.193600000000E+00|  0.233920000000E+00| -0.423564800000E+00|  0.331307315200E+00| -0.600591196160E-01| -0.208131610542E+00|  0.317919533105E+00| -0.223344102040E+00|  0.243300004089E-02|  0.199881616347E+00| -0.262742623343E+00|  0.159080400051E+00|  0.353527113226E-01
  0.170000000000E+00|  0.100000000000E+01| -0.660000000000E+00|  0.153400000000E+00|  0.271260000000E+00| -0.428355300000E+00|  0.291878096400E+00|  0.379025335600E-02| -0.254826993171E+00|  0.312031932362E+00| -0.162486926193E+00| -0.770701336797E-01|  0.244823755885E+00| -0.239054428654E+00|  0.774240770909E-01|  0.123429322768E+00
  0.180000000000E+00|  0.100000000000E+01| -0.640000000000E+00|  0.114400000000E+00|  0.304640000000E+00| -0.426996800000E+00|  0.248188313600E+00|  0.646230453760E-01| -0.289541945590E+00|  0.290905170004E+00| -0.943014094358E-01| -0.147144139129E+00|  0.265511938569E+00| -0.190812517109E+00| -0.102417683907E-01|  0.189824320015E+00
  0.190000000000E+00|  0.100000000000E+01| -0.620000000000E+00|  0.766000000000E-01|  0.334180000000E+00| -0.420035300000E+00|  0.201415394800E+00|  0.121087251244E+00| -0.312065087690E+00|  0.256824319601E+00| -0.233786252304E-01| -0.203601867119E+00|  0.262243869290E+00| -0.124998086481E+00| -0.930350839254E-01|  0.227313030655E+00
  0.200000000000E+00|  0.100000000000E+01| -0.600000000000E+00|  0.400000000000E-01|  0.360000000000E+00| -0.408000000000E+00|  0.152640000000E+00|  0.172096000000E+00| -0.322598400000E+00|  0.212339200000E+00|  0.461030400000E-01| -0.243662745600E+00|  0.237192744960E+00| -0.494141399040E-01| -0.161930833920E+00|  0.233261666304E+00
  0.210000000000E+00|  0.100000000000E+01| -0.580000000000E+00|  0.460000000000E-02|  0.382220000000E+00| -0.391403300000E+00|  0.102849045200E+00|  0.216806598604E+00| -0.321688003525E+00|  0.160129930055E+00|  0.110513657540E+00| -0.265902987658E+00|  0.193960164934E+00|  0.281253553346E-01| -0.210410740890E+00|  0.209243041642E+00
  0.220000000000E+00|  0.100000000000E+01| -0.560000000000E+00| -0.296000000000E-01|  0.400960000000E+00| -0.370740800000E+00|  0.529387264000E-01|  0.254600240896E+00| -0.310160301732E+00|  0.102893106034E+00|  0.166860004934E+00| -0.270142840681E+00|  0.137116341551E+00|  0.100459397359E+00| -0.234755973972E+00|  0.160252725771E+00
  0.230000000000E+00|  0.100000000000E+01| -0.540000000000E+00| -0.626000000000E-01|  0.416340000000E+00| -0.346491300000E+00|  0.371754360000E-02|  0.285062381836E+00| -0.289063311727E+00|  0.432470190170E-01|  0.212833206582E+00| -0.257289187069E+00|  0.717570286852E-01|  0.161579896790E+00| -0.234031765453E+00|  0.936888915738E-01
  0.240000000000E+00|  0.100000000000E+01| -0.520000000000E+00| -0.944000000000E-01|  0.428480000000E+00| -0.319116800000E+00| -0.440906752000E-01|  0.307963777024E+00| -0.259613011640E+00| -0.163456185467E-01|  0.246822151231E+00| -0.229149228724E+00|  0.309891503255E-02|  0.206964874348E+00| -0.209825411301E+00|  0.182432434388E-01
  0.250000000000E+00|  0.100000000000E+01| -0.500000000000E+00| -0.125000000000E+00|  0.437500000000E+00| -0.289062500000E+00| -0.898437500000E-01|  0.323242187500E+00| -0.223144531250E+00| -0.736389160156E-01|  0.267898559570E+00| -0.188228607178E+00| -0.638713836670E-01|  0.233752965927E+00| -0.165804266930E+00| -0.571736395359E-01
  0.260000000000E+00|  0.100000000000E+01| -0.480000000000E+00| -0.154400000000E+00|  0.443520000000E+00| -0.256756800000E+00| -0.132978124800E+00|  0.330984749824E+00| -0.181068012872E+00| -0.126650444511E+00|  0.275779081132E+00| -0.137525121932E+00| -0.124685234750E+00|  0.240775111074E+00| -0.107159885838E+00| -0.124377451679E+00
  0.270000000000E+00|  0.100000000000E+01| -0.460000000000E+00| -0.182600000000E+00|  0.446660000000E+00| -0.222611300000E+00| -0.173005843600E+00|  0.331411011436E+00| -0.134828969541E+00| -0.173694648777E+00|  0.270769323307E+00| -0.803272046711E-01| -0.175612039632E+00|  0.228464552557E+00| -0.399998368328E-01| -0.176660086413E+00
  0.280000000000E+00|  0.100000000000E+01| -0.440000000000E+00| -0.209600000000E+00|  0.447040000000E+00| -0.187020800000E+00| -0.209511526400E+00|  0.324856631296E+00| -0.858729675162E-01| -0.213404354183E+00|  0.253694256602E+00| -0.200244797545E-01| -0.213810579372E+00|  0.198669361712E+00|  0.292587672024E-01| -0.209306846901E+00
  0.290000000000E+00|  0.100000000000E+01| -0.420000000000E+00| -0.235400000000E+00|  0.444780000000E+00| -0.150363300000E+00| -0.242149345200E+00|  0.311757745804E+00| -0.356144601271E-01| -0.244741640228E+00|  0.225818999139E+00|  0.400639148929E-01| -0.237413974613E+00|  0.154392994245E+00|  0.944493273680E-01| -0.219868878395E+00
  0.300000000000E+00|  0.100000000000E+01| -0.400000000000E+00| -0.260000000000E+00|  0.440000000000E+00| -0.113000000000E+00| -0.270640000000E+00|  0.292636000000E+00|  0.145904000000E-01| -0.266999300000E+00|  0.188763560000E+00|  0.968390644000E-01| -0.245553067360E+00|  0.994882092760E-01|  0.150134978120E+00| -0.208200320306E+00
  0.310000000000E+00|  0.100000000000E+01| -0.380000000000E+00| -0.283400000000E+00|  0.432820000000E+00| -0.752753000000E-01| -0.294767694800E+00|  0.268084244044E+00|  0.634671433175E-01| -0.279794053152E+00|  0.144414715203E+00|  0.147547223461E+00| -0.238324908658E+00|  0.383283536339E-01|  0.191983041875E+00| -0.176286757634E+00
  0.320000000000E+00|  0.100000000000E+01| -0.360000000000E+00| -0.305600000000E+00|  0.423360000000E+00| -0.375168000000E-01| -0.314377113600E+00|  0.238752894976E+00|  0.109842733302E+00| -0.283052628083E+00|  0.948378019391E-01|  0.189878308748E+00| -0.216714366684E+00| -0.245222033403E-01|  0.217020940790E+00| -0.127903921504E+00
  0.330000000000E+00|  0.100000000000E+01| -0.340000000000E+00| -0.326600000000E+00|  0.411740000000E+00| -0.353000000000E-04| -0.329370396400E+00|  0.205336963756E+00|  0.152661856943E+00| -0.276991777087E+00|  0.421908462249E-01|  0.222037312717E+00| -0.182477715914E+00| -0.846195584538E-01|  0.223769141371E+00| -0.681533184204E-01
  0.340000000000E+00|  0.100000000000E+01| -0.320000000000E+00| -0.346400000000E+00|  0.398080000000E+00|  0.368752000000E-01| -0.339704115200E+00|  0.168563747584E+00|  0.190999928750E+00| -0.262093236386E+00| -0.113569137845E-01|  0.242788916328E+00| -0.137997489080E+00| -0.137918046665E+00|  0.212254941714E+00| -0.292486355446E-02
  0.350000000000E+00|  0.100000000000E+01| -0.300000000000E+00| -0.365000000000E+00|  0.382500000000E+00|  0.729375000000E-01| -0.345386250000E+00|  0.129181187500E+00|  0.224072981250E+00| -0.239074591016E+00| -0.637003817578E-01|  0.251476349516E+00| -0.861179258521E-01| -0.181002179691E+00|  0.183917804455E+00|  0.616638657075E-01
  0.360000000000E+00|  0.100000000000E+01| -0.280000000000E+00| -0.382400000000E+00|  0.365120000000E+00|  0.107891200000E+00| -0.346473164800E+00|  0.879468912640E-01|  0.251244614943E+00| -0.208856952701E+00| -0.112866424965E+00|  0.248016195512E+00| -0.299700890874E-01| -0.211264231409E+00|  0.141422360686E+00|  0.119805854396E+00
  0.370000000000E+00|  0.100000000000E+01| -0.260000000000E+00| -0.398600000000E+00|  0.346060000000E+00|  0.141492700000E+00| -0.343066583600E+00|  0.456178215160E-01|  0.272030180697E+00| -0.172530306916E+00| -0.157073054334E+00|  0.232871365065E+00|  0.272048081891E-01| -0.227022480724E+00|  0.883991097259E-01|  0.166480749938E+00
  0.380000000000E+00|  0.100000000000E+01| -0.240000000000E+00| -0.413600000000E+00|  0.325440000000E+00|  0.173515200000E+00| -0.335310566400E+00|  0.294064921600E-02|  0.286098367549E+00| -0.131317333461E+00| -0.194779135542E+00|  0.207004885922E+00|  0.822260663971E-01| -0.227578469305E+00|  0.291352322356E-01|  0.197837414005E+00
  0.390000000000E+00|  0.100000000000E+01| -0.220000000000E+00| -0.427400000000E+00|  0.303380000000E+00|  0.203748700000E+00| -0.323388485200E+00| -0.393572276360E-01|  0.293270368891E+00| -0.865364529862E-01| -0.224724068551E+00|  0.171817468342E+00|  0.132131271070E+00| -0.213214698615E+00| -0.317611084971E-01|  0.211460861890E+00
  0.400000000000E+00|  0.100000000000E+01| -0.200000000000E+00| -0.440000000000E+00|  0.280000000000E+00|  0.232000000000E+00| -0.307520000000E+00| -0.805760000000E-01|  0.293516800000E+00| -0.395648000000E-01| -0.245957120000E+00|  0.129072025600E+00|  0.174315335680E+00| -0.185136902144E+00| -0.896999628800E-01|  0.206511394816E+00
  0.410000000000E+00|  0.100000000000E+01| -0.180000000000E+00| -0.451400000000E+00|  0.255420000000E+00|  0.258092700000E+00| -0.287958034800E+00| -0.120051098516E+00|  0.286952539904E+00|  0.819822898393E-02| -0.257856322214E+00|  0.808084561115E-01|  0.206646114367E+00| -0.145367327559E+00| -0.140430799876E+00|  0.183733496119E+00
  0.420000000000E+00|  0.100000000000E+01| -0.160000000000E+00| -0.461600000000E+00|  0.229760000000E+00|  0.281867200000E+00| -0.264985753600E+00| -0.157160178944E+00|  0.273829670543E+00|  0.553662554130E-01| -0.260137064341E+00|  0.292520376880E-01|  0.227553072435E+00| -0.965973100939E-01| -0.180326740680E+00|  0.145341182211E+00
